API명,BE 구현,Endpoint,FE 연동,Method,Query Parameters,도메인,비고,상태,설명,인증 필요 여부,주요 Error Code
이메일 인증 코드 발송,No,/api/v1/auth/email/send-code,No,POST,,Auth,유효시간 5분 및 재발송 제한 60초,명세 완료,학교 이메일로 인증 코드 발송,No,"AUTH_400, AUTH_409, COMMON_500"
이메일 인증 코드 확인,No,/api/v1/auth/email/verify,No,POST,,Auth,확인 성공 시 verificationToken 반환,명세 완료,이메일 인증 코드 검증,No,"AUTH_400, AUTH_401, COMMON_500"
회원가입 완료,No,/api/v1/auth/signup,No,POST,,Auth,이메일 인증 없이 계정 생성 후 로그인 필요,명세 완료,이메일과 비밀번호로 바로 회원가입,No,"USER_409, COMMON_500"
로그인,Yes,/api/v1/auth/login,No,POST,,Auth,BCrypt 비밀번호 검증 후 JWT accessToken 발급,구현 완료,이메일과 비밀번호로 로그인,No,"AUTH_401, USER_404, COMMON_500"
단과대 목록 조회,No,/api/v1/colleges,No,GET,,Category/Filter,전체 단과대 목록,명세 완료,단과대 필터 옵션 조회,No,COMMON_500
학과 목록 조회,No,/api/v1/departments,No,GET,collegeId,Category/Filter, collegeId 없으면 전체 조회,명세 완료,학과 필터 옵션 조회,No,"COMMON_400, COMMON_500"
매장 리스트 조회,No,/api/v1/stores,Yes,GET,"collegeId, departmentId, keyword, favoriteOnly, page, size",Store,favoriteOnly=true는 인증 필수. 토큰이 있으면 즐겨찾기 여부 포함,명세 완료,필터 조건에 맞는 제휴 매장 목록 조회,Optional,"AUTH_001, COMMON_400, COMMON_500"
지도용 매장 목록 조회,No,/api/v1/stores/map,No,GET,"latitude, longitude, radiusMeters, collegeId, departmentId",Store,위치 권한 처리는 프론트 담당,명세 완료,지도에 표시할 매장 목록 조회,No,"COMMON_400, COMMON_500"
매장 검색 자동완성,No,/api/v1/stores/search,No,GET,"keyword, limit",Store,검색 결과 없으면 빈 배열 반환,명세 완료,매장 검색 자동완성,No,"COMMON_400, COMMON_500"
매장 바텀시트 정보 조회,No,/api/v1/stores/{storeId}/summary,No,GET,,Store,토큰이 있으면 즐겨찾기 여부 포함,명세 완료,지도 바텀시트용 매장 요약 조회,Optional,"STORE_404, COMMON_500"
매장 상세 정보 조회,No,/api/v1/stores/{storeId},No,GET,,Store,혜택과 대표 메뉴 포함,명세 완료,매장 상세 정보 조회,Optional,"STORE_404, COMMON_500"
즐겨찾기 추가,No,/api/v1/stores/{storeId}/favorite,No,POST,,Favorite,중복 추가 시 FAVORITE_409,명세 완료,매장 즐겨찾기 추가,Yes,"AUTH_001, STORE_404, FAVORITE_409, COMMON_500"
즐겨찾기 해제,No,/api/v1/stores/{storeId}/favorite,No,DELETE,,Favorite,멱등 처리. 이미 즐겨찾기가 없어도 성공,명세 완료,매장 즐겨찾기 해제,Yes,"AUTH_001, STORE_404, COMMON_500"
내 즐겨찾기 목록 조회,No,/api/v1/me/favorites,No,GET,"page, size",Favorite,페이지네이션 적용,명세 완료,내 즐겨찾기 매장 목록 조회,Yes,"AUTH_001, COMMON_500"
마이페이지 조회,No,/api/v1/me,No,GET,,MyPage,사용자 유형별 응답 필드 확장 가능,명세 완료,내 계정 정보 조회,Yes,"AUTH_001, USER_404, COMMON_500"
QR 인증 요청,Yes,/api/v1/qr/verify,No,POST,,QR/Benefit Usage,인증 필수. 활성 QR 토큰 검증 및 중복 인증 시 QR_409,구현 완료,매장 QR 인증 처리,Yes,"AUTH_001, AUTH_003, QR_400, QR_404, QR_409, COMMON_500"
내 혜택 사용 내역 조회,No,/api/v1/me/benefit-usages,No,GET,"page, size",QR/Benefit Usage,마이페이지 카운트와 연동,명세 완료,내 혜택 사용 이력 조회,Yes,"AUTH_001, COMMON_500"
관리자 매장 등록,Yes,/api/v1/admin/stores,No,POST,,Admin,좌표는 latitude/longitude 직접 입력,구현 완료,관리자 매장 등록,Admin,"AUTH_004, COMMON_400, COMMON_500"
관리자 매장 수정,Yes,/api/v1/admin/stores/{storeId},No,PATCH,,Admin,PATCH null은 무시,구현 완료,관리자 매장 정보 수정,Admin,"AUTH_004, ADMIN_STORE_404, COMMON_400, COMMON_500"
관리자 매장 비활성화,Yes,/api/v1/admin/stores/{storeId},No,DELETE,,Admin,소프트 삭제,구현 완료,관리자 매장 비활성화,Admin,"AUTH_004, ADMIN_STORE_404, COMMON_500"
관리자 QR 토큰 재발급,Yes,/api/v1/admin/stores/{storeId}/qr/regenerate,No,POST,,Admin,재발급 후 기존 QR 무효화,구현 완료,관리자 QR 토큰 재발급,Admin,"AUTH_004, ADMIN_STORE_404, COMMON_500"
관리자 메뉴 등록,Yes,/api/v1/admin/stores/{storeId}/menus,No,POST,,Admin,이미지 URL 방식,구현 완료,관리자 메뉴 등록,Admin,"AUTH_004, ADMIN_STORE_404, COMMON_400, COMMON_500"
관리자 메뉴 수정,Yes,/api/v1/admin/menus/{menuId},No,PATCH,,Admin,PATCH는 변경 필드만 전달,구현 완료,관리자 메뉴 수정,Admin,"AUTH_004, ADMIN_MENU_404, COMMON_400, COMMON_500"
관리자 혜택 등록,Yes,/api/v1/admin/stores/{storeId}/benefits,No,POST,,Admin,한 매장에 여러 혜택 허용,구현 완료,관리자 혜택 등록,Admin,"AUTH_004, ADMIN_STORE_404, COMMON_400, COMMON_500"
관리자 혜택 수정,Yes,/api/v1/admin/benefits/{benefitId},No,PATCH,,Admin,기간 검증 및 PATCH는 변경 필드만 전달,구현 완료,관리자 혜택 수정,Admin,"AUTH_004, ADMIN_BENEFIT_404, COMMON_400, COMMON_500"
